mode,severity,seed,accuracy,macro_f1,scenario_coverage,severity_balance,temporal_stability,failure_case_rate,report_file,manifest
dataset_only,low,13,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125407.txt,simulations\run_dataset_only_low_seed13_20260324_125359\manifest.json
dataset_only,low,23,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125417.txt,simulations\run_dataset_only_low_seed23_20260324_125407\manifest.json
dataset_only,low,37,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125428.txt,simulations\run_dataset_only_low_seed37_20260324_125418\manifest.json
dataset_only,high,13,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125438.txt,simulations\run_dataset_only_high_seed13_20260324_125428\manifest.json
dataset_only,high,23,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125448.txt,simulations\run_dataset_only_high_seed23_20260324_125438\manifest.json
dataset_only,high,37,71.75925925925925,31.302628693933038,87.5,100.0,32.967032967032964,28.240740740740744,reports\benchmark_20260324_125459.txt,simulations\run_dataset_only_high_seed37_20260324_125449\manifest.json
synthetic_only,low,13,76.92307692307693,9.661835748792273,87.5,100.0,0.0,23.076923076923062,reports\benchmark_20260324_125656.txt,simulations\run_synthetic_only_low_seed13_20260324_125459\manifest.json
synthetic_only,low,23,77.06043956043956,10.558231891565223,87.5,100.0,0.5952380952380952,22.939560439560434,reports\benchmark_20260324_125859.txt,simulations\run_synthetic_only_low_seed23_20260324_125656\manifest.json
synthetic_only,low,37,77.06043956043956,10.558231891565223,87.5,100.0,0.5952380952380952,22.939560439560434,reports\benchmark_20260324_130056.txt,simulations\run_synthetic_only_low_seed37_20260324_125859\manifest.json
synthetic_only,high,13,79.25824175824175,20.78890778654372,87.5,100.0,10.119047619047619,20.741758241758244,reports\benchmark_20260324_130257.txt,simulations\run_synthetic_only_high_seed13_20260324_130056\manifest.json
synthetic_only,high,23,70.37037037037037,37.49046015712682,75.0,100.0,38.46153846153847,29.629629629629626,reports\benchmark_20260324_130435.txt,simulations\run_synthetic_only_high_seed23_20260324_130403\manifest.json
synthetic_only,high,37,79.12087912087912,20.380785735116444,87.5,100.0,9.523809523809524,20.879120879120872,reports\benchmark_20260324_130638.txt,simulations\run_synthetic_only_high_seed37_20260324_130436\manifest.json
hybrid,low,13,75.74152542372882,21.70106374114944,100.0,38.095238095238095,11.583011583011583,24.258474576271183,reports\benchmark_20260324_130834.txt,simulations\run_hybrid_low_seed13_20260324_130639\manifest.json
hybrid,low,23,75.84745762711864,21.995025056924362,100.0,38.095238095238095,11.96911196911197,24.152542372881356,reports\benchmark_20260324_131015.txt,simulations\run_hybrid_low_seed23_20260324_130834\manifest.json
hybrid,low,37,75.84745762711864,21.995025056924362,100.0,38.095238095238095,11.96911196911197,24.152542372881356,reports\benchmark_20260324_131158.txt,simulations\run_hybrid_low_seed37_20260324_131015\manifest.json
hybrid,high,13,77.54237288135593,26.272023696496767,100.0,38.095238095238095,18.146718146718147,22.457627118644076,reports\benchmark_20260324_131342.txt,simulations\run_hybrid_high_seed13_20260324_131159\manifest.json
hybrid,high,23,77.33050847457628,25.85091467855729,100.0,38.095238095238095,17.374517374517374,22.669491525423723,reports\benchmark_20260324_131526.txt,simulations\run_hybrid_high_seed23_20260324_131343\manifest.json
hybrid,high,37,77.4364406779661,26.06426484975632,100.0,38.095238095238095,17.760617760617762,22.5635593220339,reports\benchmark_20260324_131712.txt,simulations\run_hybrid_high_seed37_20260324_131526\manifest.json
